"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"780","RT @jctwritesstuff: Welcome to your 40s, the Cocktail Flu now lasts three days.",FALSE,0,NA,2018-03-05 22:51:25,FALSE,NA,"970793936808652801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mulva74",234,TRUE,FALSE,NA,NA
"781","RT @MirrorPolitics: NHS has so many patients with flu or norovirus they could fill 10 hospitals
https://t.co/gg4O2lcrEQ https://t.co/piLz6n‚Ä¶",FALSE,0,NA,2018-03-05 22:51:19,FALSE,NA,"970793912490131461",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Weescosha",19,TRUE,FALSE,NA,NA
"782","Ficar um ano sem falar viadagem ou Romarinho jogar 3 jogos de titular do flu, pra despedida ‚Äî Romarinho j√° se foi,‚Ä¶ https://t.co/dKQKZiPkpK",FALSE,0,NA,2018-03-05 22:51:08,TRUE,NA,"970793863047712769",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","brunolealffc",0,FALSE,FALSE,NA,NA
"783","O Kamehameha do @marcosjr35! Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ∏±Ì†ΩÌ∏±Ì†ΩÌ∏±Ì†ΩÌ±áÌ†ºÌøΩÌ†ΩÌ±áÌ†ºÌøΩÌ†ΩÌ±áÌ†ºÌøΩ
https://t.co/T0vF9dPs2c
#kamehameha #marcosjr #flu #fluminense #rj‚Ä¶ https://t.co/1yFwbW9yNG",FALSE,92,NA,2018-03-05 22:51:03,TRUE,NA,"970793845104500742",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jardellukas123",18,FALSE,FALSE,NA,NA
"784","I obviously forgot to touch wood when I was boasting earlier about how I've managed to escape Winter flu despite wo‚Ä¶ https://t.co/hMz2GAEZEK",FALSE,3,NA,2018-03-05 22:50:52,TRUE,NA,"970793798845583360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xAnhysbys",0,FALSE,FALSE,NA,NA
"785","RT @jctwritesstuff: Welcome to your 40s, the Cocktail Flu now lasts three days.",FALSE,0,NA,2018-03-05 22:50:50,FALSE,NA,"970793790956072960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grommit56",234,TRUE,FALSE,NA,NA
"786","@IanLlorian I hear ya. I turned 30 and had to have physical therapy for my back and caught the flu within a few months of each other",FALSE,0,"IanLlorian",2018-03-05 22:50:47,FALSE,"970414255899070464","970793778536701952","3166480744","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Taithleach",0,FALSE,FALSE,NA,NA
"787","RT @CBCQueensPark: ‚ÄúThe PC party's base is driving the four leadership candidates to speak about carbon pricing as if it were a new strain‚Ä¶",FALSE,0,NA,2018-03-05 22:50:37,FALSE,NA,"970793733758349313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lneumannca",18,TRUE,FALSE,NA,NA
"788","HealthWatch: FDA Warns Against Fraudulent Flu Remedies. https://t.co/khyKqCot4m https://t.co/zN0jPb2oK3",FALSE,0,NA,2018-03-05 22:50:26,FALSE,NA,"970793689483300865",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","wbz",0,FALSE,FALSE,NA,NA
"789","soo my friend is home sick w the flu and she called me and starting crying abt how much she loves @tanamongeau and‚Ä¶ https://t.co/GQh9Bsw3AL",FALSE,3,NA,2018-03-05 22:50:25,TRUE,NA,"970793684806586369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lolalapier0",1,FALSE,FALSE,NA,NA
"790","@etdragonpunch Get better, man! The flu is kicking everyone's ass.",FALSE,1,"etdragonpunch",2018-03-05 22:50:18,FALSE,"970587790118330368","970793656260186113","3227611442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hkleonhart",0,FALSE,FALSE,NA,NA
"791","Girl i want you in my chest like the fluÌ†ΩÌ∏©",FALSE,0,NA,2018-03-05 22:50:11,FALSE,NA,"970793624945520640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_JohnnyBoy3",0,FALSE,FALSE,NA,NA
"792","RT @Education4Libs: There are 30,000 gun-related deaths in the USA each year with 60% of them being suicides. Even with those factored in,‚Ä¶",FALSE,0,NA,2018-03-05 22:50:10,FALSE,NA,"970793620952551424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PalmettoDelta",3313,TRUE,FALSE,NA,NA
"793","@Prii_Flu Ent√£o, conheceu na prainha Ì†ΩÌπÑ",FALSE,1,"Prii_Flu",2018-03-05 22:50:08,FALSE,"970791443462844422","970793612865916930","846494546682925058","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wedy_Silva",0,FALSE,FALSE,NA,NA
"794","I‚Äôm ready to eat real food again. This flu thinks it can take over?? I don‚Äôt think so Ì†ΩÌπÖÌ†ºÌøª‚Äç‚ôÄÔ∏è",FALSE,0,NA,2018-03-05 22:50:07,FALSE,NA,"970793609715908610",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itscillamarie",0,FALSE,FALSE,NA,NA
"795","@sweeetbea That's not good, but they are probably doing that with a lot of flu cases. Are you doing better? What is‚Ä¶ https://t.co/MeeLT1idtg",FALSE,0,"sweeetbea",2018-03-05 22:50:03,TRUE,"970792920906379265","970793593026809856","19879777","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BobbiNJ",0,FALSE,FALSE,NA,NA
"796","In a weekend full of flu, this face cheered me up endlessly: https://t.co/weJonsoxZr",FALSE,1,NA,2018-03-05 22:49:57,FALSE,NA,"970793567139651589",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StrandedGirl",0,FALSE,FALSE,NA,NA
"797","RT @TheMF90: Once you take a pro club off you throw it on the trash.",FALSE,0,NA,2018-03-05 22:49:54,FALSE,NA,"970793556083318784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Columbian_Flu",1,TRUE,FALSE,NA,NA
"798","I clearly have the flu",FALSE,0,NA,2018-03-05 22:49:53,FALSE,NA,"970793550530170881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pcketrcket",0,FALSE,FALSE,NA,NA
"799","if my mom doesnt stop reading the most random shit on web md about the flu and pneumonia outloud after saying ""lets‚Ä¶ https://t.co/x9A6lVB7M0",FALSE,2,NA,2018-03-05 22:49:52,TRUE,NA,"970793546348408832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KittyKaate",0,FALSE,FALSE,NA,NA
"800","RT @anartam: Se acabarem com o Samorin ser√° √≥timo, mas n√£o pensem que vamos esquecer dos gastos crescentes com PESSOAL em Xer√©m. De 4 mi em‚Ä¶",FALSE,0,NA,2018-03-05 22:49:51,FALSE,NA,"970793542430937088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andrade78rj",16,TRUE,FALSE,NA,NA
"801","RT @IDSAInfo: The spread of the flu virus is finally slowing. But it's still worth getting the vaccine. @BuzzFeed https://t.co/JJYTbpxegZ",FALSE,0,NA,2018-03-05 22:49:45,FALSE,NA,"970793517529354241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shihana3",8,TRUE,FALSE,NA,NA
"802","@myactivetribe Yes I'm ok Flu is no joke but I'm ok now thanks i missed you guys too xx",FALSE,0,"myactivetribe",2018-03-05 22:49:42,FALSE,"970788321189421056","970793506112491520","914152266264907776","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","benwimbushSCORD",0,FALSE,FALSE,NA,NA
"803","For a Tuesday night show in Bossier, #BlakeShelton will have to stage a quick recovery from the flu. But his  fans‚Ä¶ https://t.co/JlwajjNwml",FALSE,0,NA,2018-03-05 22:49:37,TRUE,NA,"970793483077390339",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BossierNow",0,FALSE,FALSE,NA,NA
"804","Forever lost without my Son Dylan who died just over 6 weeks ago from flu b &amp; sepsis.. https://t.co/gfEkuzN0IZ",FALSE,100,NA,2018-03-05 22:49:34,FALSE,NA,"970793469156274177",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SarahDa15849051",45,FALSE,FALSE,NA,NA
"805","Doing this purely for the timehop memories: survived the flu and it was the worst thing to ever happen to me",FALSE,3,NA,2018-03-05 22:49:34,FALSE,NA,"970793468577624064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jmeyers94",0,FALSE,FALSE,NA,NA
"806","Ya gitu. Pas sma flu dikit, nyekip. Sekarang mah...",FALSE,0,NA,2018-03-05 22:49:28,FALSE,NA,"970793445458550784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","syifaslamiyah",0,FALSE,FALSE,NA,NA
"807","RT @jctwritesstuff: Welcome to your 40s, the Cocktail Flu now lasts three days.",FALSE,0,NA,2018-03-05 22:49:22,FALSE,NA,"970793420766588928",NA,"<a href=""https://favstar.fm"" rel=""nofollow"">Favstar.FM</a>","DearAuntAbby",234,TRUE,FALSE,NA,NA
